Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene263	7845323	NW_002476580.1	9743	10863	-	TTHERM_01292200	XM_971452.2	hypothetical protein
gene264	7845324	NW_002476580.1	13404	20259	-	TTHERM_01292210	XM_971453.2	hypothetical protein
gene265	24442098	NW_002476580.1	22468	24562	+	TTHERM_001292214	XM_012795250.1	hypothetical protein
gene266	24442099	NW_002476580.1	25525	27855	+	TTHERM_001292219	XM_012795251.1	hypothetical protein
gene267	7845327	NW_002476580.1	28666	30043	-	TTHERM_01292240	XM_971456.3	hypothetical protein
gene268	24442100	NW_002476580.1	31295	33362	-	TTHERM_001292250	XM_012795252.1	hypothetical protein
gene269	7845328	NW_002476580.1	33691	38045	-	TTHERM_01293240	XM_971457.3	hypothetical protein
gene270	24442101	NW_002476580.1	38453	40519	-	TTHERM_001293241	XM_012795253.1	hypothetical protein
gene271	24442102	NW_002476580.1	41353	45850	-	TTHERM_001293243	XM_012795254.1	tetratricopeptide repeat protein
gene272	7845329	NW_002476580.1	46361	48960	-	TTHERM_01293260	XM_971458.2	hypothetical protein
gene273	24442103	NW_002476580.1	50537	51817	+	TTHERM_001293260	XM_012795255.1	hypothetical protein
gene274	7845320	NW_002476579.1	1471	1830	-	TTHERM_01012060	XM_971471.1	transmembrane protein, putative
gene275	24441399	NW_002476579.1	4105	4440	-	TTHERM_001012064	XM_012795256.1	hypothetical protein
gene276	7835850	NW_002476579.1	5549	5971	-	TTHERM_01012070	XM_971472.1	transmembrane protein, putative
gene277	7835852	NW_002476579.1	8553	8885	-	TTHERM_01012080	XM_971473.1	transmembrane protein, putative
gene278	7835849	NW_002476579.1	11714	16438	-	TTHERM_01012090	XM_971474.1	transmembrane protein, putative
gene279	7835851	NW_002476579.1	17023	19545	-	TTHERM_01012100	XM_971475.3	MFS transporter
gene280	7835847	NW_002476579.1	20531	22343	+	TTHERM_01012110	XM_971476.2	hypothetical protein
gene281	24441400	NW_002476579.1	22799	23224	-	TTHERM_001012120	XM_012795257.1	hypothetical protein
gene282	7835853	NW_002476579.1	24819	26018	+	TTHERM_01013120	XM_971478.1	hypothetical protein
gene283	7835854	NW_002476579.1	29983	31074	+	TTHERM_01013130	XM_971479.2	hypothetical protein
gene284	7835855	NW_002476579.1	33519	34507	+	TTHERM_01013140	XM_971480.3	hypothetical protein
gene285	7835856	NW_002476579.1	34851	36011	+	TTHERM_01013150	XM_971481.3	DnaJ domain protein
gene286	7835857	NW_002476579.1	36638	39602	+	TTHERM_01013160	XM_971482.1	intraflagellar transporter-like protein
gene287	7835858	NW_002476579.1	40944	45301	+	TTHERM_01013170	XM_971483.2	plasma-membrane choline transporter
gene288	7835859	NW_002476579.1	47172	47424	-	TTHERM_01013180	XM_971484.2	50S ribosomal protein L33
gene289	7835860	NW_002476579.1	49137	53073	-	TTHERM_01013190	XM_971485.2	chromosome condensation regulator RCC1 repeat protein
gene290	7835861	NW_002476579.1	54014	56529	-	TTHERM_01013200	XM_971486.2	hypothetical protein
gene291	24441401	NW_002476579.1	58919	59413	-	TTHERM_001013201	XM_012795258.1	cyclin-dependent kinase regulatory subunit
gene292	7835862	NW_002476579.1	60806	66549	-	TTHERM_01013220	XM_971488.3	hypothetical protein
gene293	7835863	NW_002476579.1	68240	70759	+	TTHERM_01013230	XM_971489.1	hypothetical protein
gene294	7835864	NW_002476579.1	72144	77466	-	TTHERM_01013240	XM_971490.2	transmembrane protein, putative
gene295	7835867	NW_002476579.1	79936	83706	+	TTHERM_01013270	XM_971493.2	cyclic nucleotide-binding domain protein
gene296	24441402	NW_002476579.1	85944	88103	+	TTHERM_001013279	XM_012795259.1	transmembrane protein, putative
gene297	7835868	NW_002476579.1	89483	91660	+	TTHERM_01013280	XM_971494.2	transmembrane protein, putative
gene298	7835869	NW_002476579.1	93481	95640	+	TTHERM_01013290	XM_971495.2	transmembrane protein, putative
gene299	24441403	NW_002476579.1	97176	99386	+	TTHERM_001013299	XM_012795260.1	transmembrane protein, putative
gene300	7835870	NW_002476579.1	101505	104291	+	TTHERM_01013300	XM_971496.2	NADPHcytochrome P450 family reductase
gene301	7835871	NW_002476579.1	104915	106941	-	TTHERM_01013310	XM_971497.2	transmembrane protein, putative
gene302	7835872	NW_002476579.1	107948	111860	+	TTHERM_01013320	XM_971498.2	hypothetical protein
gene303	7835873	NW_002476579.1	112616	113134	-	TTHERM_01013330	XM_971499.3	S-phase kinase-associated protein 1A
gene304	7835874	NW_002476579.1	114691	116640	+	TTHERM_01013340	XM_971500.1	signal peptide peptidase
gene305	7835875	NW_002476579.1	117231	118052	-	TTHERM_01013350	XM_971501.2	transmembrane protein, putative
gene306	24441404	NW_002476579.1	118590	118871	+	TTHERM_001013367	XM_012795261.1	hypothetical protein
gene307	24441405	NW_002476579.1	119480	119782	+	TTHERM_001013368	XM_012795262.1	hypothetical protein
gene308	24441406	NW_002476579.1	123298	127695	-	TTHERM_001013369	XM_012795263.1	hypothetical protein
gene309	7845317	NW_002476579.1	128396	130262	-	TTHERM_01013370	XM_971503.2	kinase domain protein, putative
gene310	7845319	NW_002476579.1	130497	134785	-	TTHERM_01013390	XM_971505.2	transmembrane protein, putative
gene311	24439524	NW_002476578.1	1312	5691	+	TTHERM_000549648	XM_012795264.1	guanylyl cyclase, ATPase
gene312	24439525	NW_002476578.1	6743	16944	+	TTHERM_000549649	XM_012795265.1	adenylate/guanylate cyclase domain protein
gene313	7822778	NW_002476578.1	18194	20763	+	TTHERM_00549650	XM_971620.2	Sm protein
gene314	24439523	NW_002476578.1	21164	21698	+	TTHERM_000549639	XM_012795266.1	small nuclear ribonucleoprotein
gene315	7822779	NW_002476578.1	22629	24260	-	TTHERM_00549640	XM_971619.3	sperm-tail PG-rich repeat protein
gene316	24439522	NW_002476578.1	26847	27176	-	TTHERM_000549619	XM_012795267.1	hypothetical protein
gene317	7822781	NW_002476578.1	28356	29863	-	TTHERM_00549620	XM_971617.3	transmembrane protein, putative
gene318	7822782	NW_002476578.1	30644	31078	-	TTHERM_00549610	XM_971616.3	RNA polymerase rpb8
gene319	7822783	NW_002476578.1	32333	35251	-	TTHERM_00549600	XM_971615.3	tubulin-tyrosine ligase family protein
gene320	7822784	NW_002476578.1	36363	40800	-	TTHERM_00549590	XM_971614.2	transmembrane protein, putative
gene321	7822785	NW_002476578.1	44903	45976	-	TTHERM_00549580	XM_971613.2	transmembrane protein, putative
gene322	7822786	NW_002476578.1	48868	50333	-	TTHERM_00549570	XM_971612.2	zinc finger lsd1 subclass family protein
gene323	7822787	NW_002476578.1	52213	53230	+	TTHERM_00549560	XM_971611.2	hypothetical protein
gene324	7822788	NW_002476578.1	54458	55487	+	TTHERM_00549550	XM_971610.2	hypothetical protein
gene325	7822789	NW_002476578.1	57875	60085	-	TTHERM_00549540	XM_971609.2	zinc finger lsd1 subclass family protein
gene326	24439521	NW_002476578.1	61772	62159	+	TTHERM_000549519	XM_012795268.1	hypothetical protein
gene327	7822791	NW_002476578.1	63526	65657	-	TTHERM_00549520	XM_971607.2	hypothetical protein
gene328	7822792	NW_002476578.1	66835	69667	+	TTHERM_00549510	XM_971606.2	hypothetical protein
gene329	7822793	NW_002476578.1	70105	70713	-	TTHERM_00549500	XM_971605.1	calmodulin 7-2
gene330	7822794	NW_002476578.1	71560	73460	+	TTHERM_00549480	XM_971604.3	protein disulfide isomerase
gene331	7822795	NW_002476578.1	73723	76976	-	TTHERM_00549470	XM_971603.2	transmembrane protein, putative
gene332	7822796	NW_002476578.1	77725	78570	-	TTHERM_00549460	XM_971602.1	hypothetical protein
gene333	24439520	NW_002476578.1	81422	82427	+	TTHERM_000549449	XM_012795269.1	hypothetical protein
gene334	7822797	NW_002476578.1	82922	83677	+	TTHERM_00549450	XM_971601.2	hypothetical protein
gene335	7822798	NW_002476578.1	84364	87341	+	TTHERM_00549440	XM_971600.3	transmembrane protein, putative
gene336	7822799	NW_002476578.1	89456	91381	+	TTHERM_00549430	XM_971599.2	transmembrane protein, putative
gene337	7822800	NW_002476578.1	94758	95800	+	TTHERM_00549420	XM_971598.2	transmembrane protein, putative
gene338	7822801	NW_002476578.1	101017	103743	+	TTHERM_00549410	XM_971597.2	transmembrane protein, putative
gene339	7822802	NW_002476578.1	106135	113377	+	TTHERM_00549400	XM_971596.2	transmembrane protein, putative
gene340	24439519	NW_002476578.1	114564	117000	+	TTHERM_000548389	XM_012795270.1	transmembrane protein, putative
gene341	7822803	NW_002476578.1	122002	123742	+	TTHERM_00548390	XM_971594.2	hypothetical protein
gene342	7822804	NW_002476578.1	125315	126925	-	TTHERM_00548380	XM_971593.2	hypothetical protein
gene343	24439518	NW_002476578.1	128465	128890	-	TTHERM_000548369	XM_012795271.1	transmembrane protein, putative
gene344	7822805	NW_002476578.1	128935	129366	-	TTHERM_00548370	XM_971592.2	hypothetical protein
gene345	7822806	NW_002476578.1	130987	132624	-	TTHERM_00548360	XM_971591.1	hypothetical protein
gene346	7822807	NW_002476578.1	133853	135272	+	TTHERM_00548350	XM_971590.2	hypothetical protein
gene347	7822808	NW_002476578.1	139464	141130	-	TTHERM_00548340	XM_971589.2	hypothetical protein
gene348	24439517	NW_002476578.1	142047	142232	-	TTHERM_000548329	XM_012795272.1	transmembrane protein, putative
gene349	7822809	NW_002476578.1	144099	145769	-	TTHERM_00548330	XM_971588.1	hypothetical protein
gene350	7822810	NW_002476578.1	149443	151065	-	TTHERM_00548320	XM_971587.2	hypothetical protein
gene351	7822811	NW_002476578.1	153490	154800	+	TTHERM_00548310	XM_971586.3	FHA domain protein
gene352	7822812	NW_002476578.1	155345	159305	+	TTHERM_00548299	XM_001470655.2	hypothetical protein
gene353	7822813	NW_002476578.1	160131	162099	-	TTHERM_00548300	XM_971585.2	hypothetical protein
gene354	7822814	NW_002476578.1	162552	163016	+	TTHERM_00548290	XM_971584.1	hypothetical protein
gene355	7822815	NW_002476578.1	164301	167289	+	TTHERM_00548280	XM_971583.3	Serine/Threonine kinase domain protein
gene356	7822817	NW_002476578.1	169556	171398	+	TTHERM_00548170	XM_971580.3	hypothetical protein
gene357	7822818	NW_002476578.1	172899	173651	-	TTHERM_00548160	XM_971579.2	proteasome subunit beta type protein
gene358	7822819	NW_002476578.1	174911	176200	+	TTHERM_00548150	XM_971578.1	hypothetical protein
gene359	7822820	NW_002476578.1	177732	181691	+	TTHERM_00548140	XM_971577.3	karyopherin, putative
gene360	24439516	NW_002476578.1	182660	183755	+	TTHERM_000548129	XM_012795273.1	peptidyl-prolyl cis-trans isomerase, cyclophilin-type family protein
gene361	7822821	NW_002476578.1	185717	187395	+	TTHERM_00548130	XM_971576.2	peptidyl-prolyl cis-trans isomerase, cyclophilin-type protein
gene362	7822822	NW_002476578.1	189273	190232	-	TTHERM_00548120	XM_971575.1	phosphoribosylaminoimidazole synthetase protein
gene363	7822823	NW_002476578.1	193555	196804	-	TTHERM_00548100	XM_971573.3	hypothetical protein
gene364	24439514	NW_002476578.1	197595	198340	-	TTHERM_000548088	XM_012795274.1	hypothetical protein
gene365	24439515	NW_002476578.1	198987	200342	-	TTHERM_000548089	XM_012795275.1	hypothetical protein
gene366	7822824	NW_002476578.1	200604	206392	-	TTHERM_00548090	XM_971572.2	hypothetical protein
gene367	7822826	NW_002476578.1	208337	212293	-	TTHERM_00548050	XM_971568.2	cyclic nucleotide-binding domain protein
gene368	7822827	NW_002476578.1	214367	216959	+	TTHERM_00548040	XM_971567.2	patatin family phospholipase
gene369	7822828	NW_002476578.1	218580	220569	+	TTHERM_00548030	XM_971566.2	endonuclease/exonuclease/phosphatase family protein
gene370	7822829	NW_002476578.1	221918	227390	-	TTHERM_00548020	XM_971565.2	hypothetical protein
gene371	7822830	NW_002476578.1	228785	229651	-	TTHERM_00547980	XM_971564.3	phosphatidate cytidylyltransferase
gene372	7822831	NW_002476578.1	232863	235873	-	TTHERM_00547960	XM_971562.3	ubiquitin-conjugating enzyme
gene373	7822832	NW_002476578.1	236811	242240	+	TTHERM_00547950	XM_971561.3	hypothetical protein
gene374	7822833	NW_002476578.1	242912	244759	+	TTHERM_00547940	XM_971560.2	kinase domain protein
gene375	7822834	NW_002476578.1	245481	247461	+	TTHERM_00547930	XM_971559.2	Serine/Threonine kinase domain protein
gene376	7822835	NW_002476578.1	248198	250507	+	TTHERM_00547920	XM_971558.4	Serine/Threonine kinase domain protein
gene377	7822836	NW_002476578.1	250944	254396	-	TTHERM_00547910	XM_971557.1	DENN domain protein
gene378	7822837	NW_002476578.1	255788	256630	+	TTHERM_00547900	XM_971556.2	cyclic nucleotide-binding domain protein
gene379	7839451	NW_002476578.1	264070	264711	+	TTHERM_00545880	XM_971552.2	hypothetical protein
gene380	7835801	NW_002476578.1	270215	271795	+	TTHERM_00545860	XM_971550.3	clathrin adapter protein AP-1, mu subunit
gene381	7835802	NW_002476578.1	272908	274053	-	TTHERM_00545850	XM_971549.1	kinase domain protein
gene382	7835803	NW_002476578.1	274162	275157	-	TTHERM_00545840	XM_971548.1	kinase domain protein
gene383	7835804	NW_002476578.1	277104	289858	+	TTHERM_00545830	XM_971547.2	MIR domain protein
gene384	7835805	NW_002476578.1	290886	293626	-	TTHERM_00545820	XM_971546.1	tetrin C, putative
gene385	7835806	NW_002476578.1	295692	298049	-	TTHERM_00545810	XM_971545.2	hypothetical protein
gene386	7835808	NW_002476578.1	299187	301096	+	TTHERM_00545790	XM_971543.2	transmembrane protein, putative
gene387	24439512	NW_002476578.1	301555	302481	+	TTHERM_000545778	XM_012795276.1	transmembrane protein, putative
gene388	24439513	NW_002476578.1	303349	303882	+	TTHERM_000545779	XM_012795277.1	hypothetical protein
gene389	7835809	NW_002476578.1	304920	306640	+	TTHERM_00545780	XM_971542.2	hypothetical protein
gene390	7835810	NW_002476578.1	307742	309602	+	TTHERM_00545770	XM_971541.2	phosphatidylserine decarboxylase family protein, putative
gene391	7835812	NW_002476578.1	310772	311545	+	TTHERM_00545750	XM_971539.2	transmembrane protein, putative
gene392	24439510	NW_002476578.1	312520	314296	+	TTHERM_000544738	XM_012795278.1	hypothetical protein
gene393	24439511	NW_002476578.1	315551	315931	+	TTHERM_000544739	XM_012795279.1	transmembrane protein, putative
gene394	7835813	NW_002476578.1	316373	316741	+	TTHERM_00544740	XM_971537.2	hypothetical protein
gene395	24439509	NW_002476578.1	317703	319560	+	TTHERM_000543729	XM_012795280.1	phosphatidylserine decarboxylase family protein, putative
gene396	7835814	NW_002476578.1	320324	322383	+	TTHERM_00543730	XM_971535.2	transmembrane protein, putative
gene397	7835815	NW_002476578.1	323451	325372	+	TTHERM_00543720	XM_971534.1	papain family cysteine protease, putative
gene398	7835816	NW_002476578.1	325571	327584	+	TTHERM_00543710	XM_971533.2	transmembrane protein, putative
gene399	7835817	NW_002476578.1	329127	329759	+	TTHERM_00543700	XM_971532.2	hypothetical protein
gene400	24439507	NW_002476578.1	330852	332684	+	TTHERM_000543678	XM_012795281.1	phosphatidylserine decarboxylase family protein, putative
gene401	24439508	NW_002476578.1	333646	335340	+	TTHERM_000543679	XM_012795282.1	papain family cysteine protease, putative
gene402	7835819	NW_002476578.1	335505	337602	+	TTHERM_00543680	XM_971530.2	phosphatidylserine decarboxylase family protein, putative
gene403	7835820	NW_002476578.1	338295	342626	+	TTHERM_00543670	XM_971529.3	transmembrane protein, putative
gene404	7835822	NW_002476578.1	343432	348842	+	TTHERM_00543659	XM_001470657.2	WD domain, G-beta repeat protein
gene405	7835823	NW_002476578.1	349366	353124	-	TTHERM_00543660	XM_971528.2	zinc finger, C3HC4 type (RING finger) protein
gene406	7835824	NW_002476578.1	353925	358798	-	TTHERM_00543650	XM_971527.2	hypothetical protein
gene407	7835825	NW_002476578.1	360216	361960	+	TTHERM_00543640	XM_971526.2	hypothetical protein
gene408	24439506	NW_002476578.1	362599	363285	+	TTHERM_000543619	XM_012795283.1	hypothetical protein
gene409	7835827	NW_002476578.1	364653	367371	+	TTHERM_00543620	XM_971524.3	Serine/Threonine kinase domain protein
gene410	7835828	NW_002476578.1	369015	369692	-	TTHERM_00543610	XM_971523.4	hypothetical protein
gene411	7835829	NW_002476578.1	371188	375069	-	TTHERM_00543600	XM_971522.3	hypothetical protein
gene412	7835830	NW_002476578.1	377583	380852	-	TTHERM_00543590	XM_971521.1	protein kinase
gene413	24439505	NW_002476578.1	382334	383018	-	TTHERM_000543579	XM_012795284.1	transmembrane protein, putative
gene414	7835831	NW_002476578.1	385922	390637	+	TTHERM_00543580	XM_971520.1	transmembrane protein, putative
gene415	7835832	NW_002476578.1	392928	397417	+	TTHERM_00543570	XM_971519.2	leishmanolysin family protein
gene416	7835833	NW_002476578.1	399801	403848	+	TTHERM_00543560	XM_971518.1	leishmanolysin family protein
gene417	7835834	NW_002476578.1	409182	413217	+	TTHERM_00541547	XM_001470659.1	leishmanolysin family protein
gene418	24439504	NW_002476578.1	418557	418941	+	TTHERM_000541549	XM_012795285.1	transmembrane protein, putative
gene419	7835837	NW_002476578.1	424711	428757	+	TTHERM_00541550	XM_971515.2	leishmanolysin family protein
gene420	7835838	NW_002476578.1	431952	435993	+	TTHERM_00541540	XM_971514.1	leishmanolysin family protein
gene421	7835839	NW_002476578.1	438659	442716	+	TTHERM_00541530	XM_971513.2	leishmanolysin family protein
gene422	7835840	NW_002476578.1	444336	448672	+	TTHERM_00541520	XM_971512.2	leishmanolysin family protein
gene423	7835841	NW_002476578.1	449009	450409	-	TTHERM_00541510	XM_971511.2	phosphate transport system ABC domain protein
gene424	24439503	NW_002476578.1	453307	454411	+	TTHERM_000541499	XM_012795286.1	phosphate transport system ABC domain protein
gene425	7835842	NW_002476578.1	454929	456206	+	TTHERM_00541500	XM_971510.2	ABC transporter family protein
gene426	7835843	NW_002476578.1	457999	458646	-	TTHERM_00541480	XM_971508.1	carbonic anhydrase
gene427	7835844	NW_002476578.1	459825	461827	+	TTHERM_00541470	XM_971507.3	hypothetical protein
gene428	7835845	NW_002476578.1	462977	464268	-	TTHERM_00541460	XM_971506.3	gamma-carbonic anhydrase
gene429	24440970	NW_002476577.1	2819	9931	+	TTHERM_000866469	XM_012795287.1	kinase domain protein
gene430	7837918	NW_002476577.1	11000	11902	-	TTHERM_00866470	XM_971626.2	glycosyl hydrolase family 16 laminarinase
gene431	7837919	NW_002476577.1	13347	14249	-	TTHERM_00866480	XM_971627.2	glycosyl hydrolase family 16 laminarinase
gene432	7837920	NW_002476577.1	17236	18120	-	TTHERM_00866490	XM_971628.1	glycosyl hydrolase family 16 laminarinase
gene433	7837921	NW_002476577.1	20191	21060	+	TTHERM_00866500	XM_971629.1	glycosyl hydrolase family 16 laminarinase
gene434	24440971	NW_002476577.1	22852	24771	-	TTHERM_000866501	XM_012795288.1	zinc carboxypeptidase family protein
gene435	7837923	NW_002476577.1	25839	27650	-	TTHERM_00866510	XM_971630.2	zinc carboxypeptidase family protein
gene436	24440972	NW_002476577.1	29262	32573	+	TTHERM_000866512	XM_012795289.1	hypothetical protein
gene437	7837924	NW_002476577.1	34127	35764	-	TTHERM_00866530	XM_971632.2	zinc carboxypeptidase family protein
gene438	24440973	NW_002476577.1	36637	45688	-	TTHERM_000866540	XM_012795290.1	kinase domain protein, putative
gene439	7837927	NW_002476577.1	47654	52170	+	TTHERM_00867560	XM_971636.3	kinase domain protein
gene440	24440974	NW_002476577.1	52984	58193	+	TTHERM_000867570	XM_012795291.1	kinase domain protein
